#! FIELDS cv file.free der_cv
#! SET min_cv -12.77
#! SET max_cv 12.77
#! SET nbins_cv  361
#! SET periodic_cv false
  -12.770000000  231.451254824   -0.000000000
  -12.699055556  231.451254824   -0.000000000
  -12.628111111  231.451254824   -0.000000000
  -12.557166667  231.451254824   -0.000000000
  -12.486222222  231.451254824   -0.000000000
  -12.415277778  231.451254824   -0.000000000
  -12.344333333  231.451254824   -0.000000000
  -12.273388889  231.451254824   -0.000000000
  -12.202444444  231.451254824   -0.000000000
  -12.131500000  231.451254824   -0.000000000
  -12.060555556  231.451254824   -0.000000000
  -11.989611111  231.451254824   -0.000000000
  -11.918666667  231.451254824   -0.000000000
  -11.847722222  231.451254824   -0.000000000
  -11.776777778  231.451254824   -0.000000000
  -11.705833333  231.451254824   -0.000000000
  -11.634888889  231.451254824   -0.000000000
  -11.563944444  231.451254824   -0.000000000
  -11.493000000  231.451254824   -0.000000000
  -11.422055556  231.451254824   -0.000000000
  -11.351111111  231.451254824   -0.000000000
  -11.280166667  231.451254824   -0.000000000
  -11.209222222  231.451254824   -0.000000000
  -11.138277778  231.451254824   -0.000000000
  -11.067333333  231.451254824   -0.000000000
  -10.996388889  231.451254824   -0.000000000
  -10.925444444  231.451254824   -0.000000000
  -10.854500000  231.451254824   -0.000000000
  -10.783555556  231.451254824   -0.000000000
  -10.712611111  231.451254824   -0.000000000
  -10.641666667  231.451254824   -0.000000000
  -10.570722222  231.451254824   -0.000000000
  -10.499777778  231.451254824   -0.000000000
  -10.428833333  231.451254824   -0.000000000
  -10.357888889  231.451254824   -0.000000000
  -10.286944444  231.451254824   -0.000000000
  -10.216000000  231.451254824   -0.000000000
  -10.145055556  231.451254824   -0.000000000
  -10.074111111  231.451254824   -0.000000000
  -10.003166667  231.451254824   -0.000000000
   -9.932222222  231.451254824   -0.000000000
   -9.861277778  231.451254824   -0.000000000
   -9.790333333  231.451254824   -0.000000000
   -9.719388889  231.451254824   -0.000000000
   -9.648444444  231.451254824   -0.000000000
   -9.577500000  231.451084143   -0.013358563
   -9.506555556  231.449717399   -0.031237543
   -9.435611111  231.446843261   -0.055587421
   -9.364666667  231.441184336   -0.113998403
   -9.293722222  231.428526476   -0.254191082
   -9.222777778  231.402452326   -0.478329080
   -9.151833333  231.357928565   -0.787439095
   -9.080888889  231.285769970   -1.283089564
   -9.009944444  231.168952193   -2.033073965
   -8.939000000  230.989491757   -3.090262420
   -8.868055556  230.721401032   -4.518872493
   -8.797111111  230.333994362   -6.489499824
   -8.726166667  229.787298848   -9.024736255
   -8.655222222  229.037339942  -12.232353934
   -8.584277778  228.029971036  -16.334430983
   -8.513333333  226.697616753  -21.387077811
   -8.442388889  224.972764252  -27.389361669
   -8.371444444  222.780895616  -34.557341231
   -8.300500000  220.045178405  -42.730330837
   -8.229555556  216.692486787  -51.946247203
   -8.158611111  212.654241839  -62.005952258
   -8.087666667  207.881346270  -72.612170725
   -8.016722222  202.344421518  -83.510857083
   -7.945777778  196.031751718  -94.396440369
   -7.874833333  188.961847623 -104.756198387
   -7.803888889  181.188121115 -114.224732171
   -7.732944444  172.785424844 -122.376269986
   -7.662000000  163.864916778 -128.784462700
   -7.591055556  154.558868581 -133.203811012
   -7.520111111  145.014969372 -135.477842993
   -7.449166667  135.390975732 -135.480426071
   -7.378222222  125.838685884 -133.420733550
   -7.307277778  116.506116886 -129.362837274
   -7.236333333  107.520702731 -123.713474712
   -7.165388889   98.980656354 -116.869486149
   -7.094444444   90.959060150 -109.170725766
   -7.023500000   83.498804906 -101.131135448
   -6.952555556   76.613029679  -93.032815796
   -6.881611111   70.288881847  -85.319236841
   -6.810666667   64.493396285  -78.192474162
   -6.739722222   59.175657201  -71.841525245
   -6.668777778   54.279950197  -66.312715108
   -6.597833333   49.748852155  -61.550000103
   -6.526888889   45.524932972  -57.628616008
   -6.455944444   41.561274176  -54.232729157
   -6.385000000   37.819572908  -51.332140064
   -6.314055556   34.271205417  -48.722912938
   -6.243111111   30.901465635  -46.292468977
   -6.172166667   27.704673299  -43.827058729
   -6.101222222   24.682788687  -41.343562376
   -6.030277778   21.837161447  -38.805727111
   -5.959333333   19.181079749  -36.085725705
   -5.888388889   16.721177548  -33.233560937
   -5.817444444   14.467623035  -30.284179277
   -5.746500000   12.424208604  -27.344173804
   -5.675555556   10.585834609  -24.436817051
   -5.604611111    8.953662605  -21.586334994
   -5.533666667    7.519176493  -18.901952202
   -5.462722222    6.264894915  -16.483482451
   -5.391777778    5.173495473  -14.328619443
   -5.320833333    4.228040857  -12.363098474
   -5.249888889    3.409255689  -10.737381057
   -5.178944444    2.699533421   -9.300538566
   -5.108000000    2.084998437   -8.054817855
   -5.037055556    1.553520607   -6.971952809
   -4.966111111    1.095316548   -5.999946812
   -4.895166667    0.706778036   -4.952250434
   -4.824222222    0.391916424   -3.882187383
   -4.753277778    0.159722293   -2.620846865
   -4.682333333    0.023430554   -1.158180075
   -4.611388889    0.000000000    0.557013647
   -4.540444444    0.110705022    2.581862448
   -4.469500000    0.372381036    4.802209068
   -4.398555556    0.792426593    7.092010520
   -4.327611111    1.384804005    9.577452035
   -4.256666667    2.148529285   11.917378442
   -4.185722222    3.072536329   14.116789606
   -4.114777778    4.143506573   16.003205091
   -4.043833333    5.327489901   17.330477482
   -3.972888889    6.586245261   18.124628450
   -3.901944444    7.882104508   18.282155217
   -3.831000000    9.168366304   17.909250479
   -3.760055556   10.410064432   16.982834117
   -3.689111111   11.572440744   15.700040926
   -3.618166667   12.633817012   14.219124986
